SampleID;x1;x2;y;RandomEffect1;RandomEffect2
381;64;72.9;2.883230045;7796;S
382;216;41;0.333132651;7917;VS
383;17;63.6;0.678036241;8306;VS
384;410;30.6;7.326291002;7765;M
385;340;30.6;9.041767467;7765;M
386;380;30.6;6.724724881;7765;M
387;70;54.2;2.007706997;7831;M
388;80;54.2;1.642876005;7831;M
389;60;54.2;2.069714433;7831;M
390;29.5;33.4;0.168113661;8296;M
391;18.1;33.4;0.219136701;8296;M
392;15;33.4;0.262614468;8296;M
393;27.6;40.5;0.288334943;8296;M
394;15.2;40.5;0.104197319;8296;M
395;21.4;40.5;3.058263249;8296;M
396;296;76.9;3.462128019;7752;S
397;26;76.9;6.467645152;7752;S
398;77;87;1.305587;8249;S
399;27.5;18.9;0.088072523;8321;S
400;30;18.9;1.066705961;8321;S
401;313.7;48.3;4.167120502;7905;VS
402;379.5;29.3;81.25934363;7905;VS
403;402.5;48.3;5.822201726;7905;VS
404;501;42.2;34.43219145;7905;VS
405;531;48.3;12.76794942;7905;VS
406;538;29.3;29.76670853;7905;VS
407;568.5;42.2;66.63734344;7905;VS
408;638;29.3;105.8091641;7905;VS
409;780.5;42.2;101.6489243;7905;VS
410;160;63.5;3.717307579;7920;VS
411;300;96.1;4.143930965;8166;VS
412;160;96.1;1.939877727;8166;VS
413;200;96.1;3.433628269;8166;VS
414;220;41.3;17.95944031;7816;M
415;170;41.3;12.5211954;7816;M
416;70;35.2;7.123952896;7821;M
417;70;35.2;6.992924676;7821;M
418;50;35.2;4.633229104;7821;M
419;200;52.7;3.739061383;7892;S
420;332.3;52.7;3.197777786;7892;S
421;355;34.4;3.386128116;7892;S
422;390;52.7;0.544308409;7892;S
423;549;34.4;2.711509757;7892;S
424;700;79.8;0;7892;S
425;823.3;79.8;2.63310513;7892;S
426;863.3;34.4;22.19638038;7892;S
427;1006;79.8;0.01533508;7892;S
428;165;54.8;0.2583718;8324;M
429;226;54.8;0.04047587;8324;M
430;146.5;54.8;0.058996828;8324;M
431;159.5;146.2;0.035703526;8324;M
432;113;146.2;7.261655322;8324;M
433;11.95;58.8;0.598260535;8301;S
434;13.3;58.8;0.089965681;8301;S
435;19;54.6;0.018350326;8301;S
436;15;54.6;0.018377805;8301;S
437;132;44.6;0.005130378;8303;S
438;129;43.6;5.592146863;8303;S
439;87;43.6;2.750652335;8303;S
440;197;44.6;0.33384481;8303;S
441;89.5;43.6;0.540331349;8303;S
442;615;43.6;0.007610149;8305;VS
443;538;44.6;0;8305;VS
444;447;44.6;0;8305;VS
445;37;43.3;53.35695456;7657;S
446;51;43.3;41.95992547;7657;S
447;32;43.3;31.89528287;7657;S
448;38.5;83.3;3.41624334;7946;VS
449;59.7;135.6;0.818249494;7946;VS
450;61.8;59.4;1.334074701;7946;VS
451;64.3;59.4;3.427177565;7946;VS
452;70;83.3;0.972571162;7946;VS
453;110.3;83.3;1.126549874;7946;VS
454;116;135.6;1.606442368;7946;VS
455;145;135.6;0.676183681;7946;VS
456;770;59.4;437.5816274;7922;VS
457;158;43.8;0;7891;VS
458;15;51.5;1.9458;8007;S
459;256.6666667;55.1;0.016766667;7823;M
460;220;55.1;0.522033333;7823;M
461;141.3333333;55.1;0.462;7823;M
462;98;57.5;16.28317499;7662;M
463;65;57.5;24.22314917;7662;M
464;140;135.6;7.752280452;7881;M
465;240;61.6;5.400863879;8173;M
466;190;61.6;1.127631948;8173;M
467;31;61.6;3.434932289;8173;M
468;180;41.3;7.419067624;7764;S
469;170;41.3;8.368893025;7764;S
470;120;41.3;1.449639967;7764;S
471;46;33.3;7.964321517;7766;S
472;43;33.3;1.250571473;7766;S
473;59;37.5;62.30334445;7655;S
474;51.5;37.5;55.87573563;7655;S
475;39;33.4;1.465877278;8297;S
476;46.7;33.4;3.290233775;8297;S
477;21.4;33.4;0.038503047;8297;S
478;19.5;40.5;0.219781911;8297;S
479;12.9;40.5;2.024296252;8297;S
480;21.4;40.5;0.288086171;8297;S
481;213;57.5;14.63850324;7705;S
482;258;57.5;16.59359142;7705;S
483;241;37.8;7.8508;7793;S
484;254;37.8;1.30996;7793;S
485;27;18.2;4.432853296;7982;VS
486;18;83.3;0.361723068;7942;VS
487;10;44.4;0.042721548;8039;VS
488;42.3;38.6;0.019078745;8283;S
489;43;38.6;0.027688743;8283;S
490;32.1;38.6;0.106836223;8283;S
491;257;49.9;20.00776985;7790;L
492;366;49.9;32.57879366;7790;L
493;92;49.9;1.114492422;7790;L
494;427.5;28.8;8.3899;7760;M
495;494.5;28.8;2.44865;7760;M
496;108.4;28.8;10.94876;7760;M
497;250;26.4;8.02232608;7747;M
498;230;26.4;6.834450317;7747;M
499;180;26.4;16.13763669;7747;M
500;135;58.9;4.130514394;7749;M
501;125;58.9;11.6560853;7749;M
502;20;91.3;26.68740594;8193;L
503;20;91.3;32.41856488;8193;L
504;40;91.3;6.85157405;8193;L
505;180;42;25.8008818;8164;M
506;180;42;61.35023712;8164;M
507;225;42;39.54884315;8164;M
508;338;38.5;58.83942639;7688;M
509;354;38.5;3.82066133;7688;M
510;409;38.5;31.16269386;7688;M
511;56;49.9;15.72695458;7746;M
512;116;49.9;16.22034632;7746;M
513;41;33.3;2.57356;7779;S
514;47;33.3;6.84914;7779;S
515;220;25.8;0.069856188;7704;S
516;210;25.8;0.298981442;7704;S
517;128.5;69.6;20.2221905;8253;M
518;60;54.2;6.979775103;7729;M
519;40;54.2;4.49804514;7729;M
520;610;24;2.344525801;7848;S
521;280;24;3.116951331;7848;S
522;110;24;0.006715476;7848;S
523;252;54.2;14.13750926;7759;S
524;204;54.2;4.944535818;7759;S
525;169;54.2;0.62611881;7759;S
526;350;32.8;23.46395779;7803;S
527;460;32.8;39.49156584;7803;S
528;340;32.8;25.36464073;7803;S
529;328;28.8;0.119354839;7710;S
530;314;28.8;0.187486559;7710;S
531;220;28.8;0.077057744;7710;S
532;105;42.2;7.190219571;7968;S
533;232;45.9;13.64124548;7912;VS
534;241.5;46.1;25.5289916;7912;VS
535;310;41.5;16.15907067;7912;VS
536;336.7;45.9;58.0523705;7912;VS
537;413.5;45.9;21.98096257;7912;VS
538;444;46.1;25.78642122;7912;VS
539;460.5;46.1;66.19559642;7912;VS
540;475.3;41.5;12.98458917;7912;VS
541;480;41.5;9.171848138;7912;VS
542;149;31.8;0.236700832;7929;VS
543;159;31.8;0.943649428;7929;VS
544;168.5;39.3;12.34459093;7929;VS
545;174.5;23.1;0;7929;VS
546;196;39.3;14.39150602;7929;VS
547;222.5;23.1;0.469074352;7929;VS
548;251;39.3;11.75427241;7929;VS
549;267;31.8;0.952389486;7929;VS
550;278.7;23.1;2.104973034;7929;VS
551;210;40.3;0;7914;VS
552;38;33.4;0.030261706;8260;S
553;17;33.4;0.006523394;8260;S
554;18;33.4;0.009886666;8260;S
555;20;40.5;0.065028459;8260;S
556;17;40.5;0.153583707;8260;S
557;13;40.5;0.078036628;8260;S
558;447;23.1;7.391792633;8272;S
559;706;23.1;0.280364995;8272;S
560;678;23.1;0.001309661;8272;S
561;145;43.8;7.778706055;8270;S
562;91.3;43.8;0.162786777;8270;S
563;143;43.8;1.767849218;8270;S
564;26.5;46.5;0.004992382;8323;VS
565;155;27.9;0.104057779;8335;VS
566;133;27.9;6.684017733;8335;VS
567;110.5;27.9;0.279558138;8335;VS
