SampleID;x1;x2;y; 
T-JTD-2013-PAV-2141;0.940166667;1;0.502374278;
T-VAKAR-2013-PAV-765;1.155833333;1;1.5;
LVDDL5;0.47;1;0.238408321;
LVDDL4;0.53;1;0.358025546;
LVDDL3;0.32;1;0.298216934;
LVDDL2;0.53;1;0.417834159;
LVDDL6;0.55;1;0.417834159;
LVDDJ3;0.39;1;0.597259996;
LVDBB5;0.45;1;1.135537508;
LVDBB3;0.92;1;0.836494446;
LVDBB1;0.61;1;1.075728896;
LVDBB4;0.33;1;0.537451384;
LVDDJ2;1.14;1;1.5;
LVDDJ1;0.72;1;0.956111671;
LVDDD1;0.42;1;0.836494446;
LVDBB6;0.51;1;1.015920283;
LVDBB2;0.92;1;0.956111671;
LVDDR3;0.47;3;0.477642771;
LVDDL1;0.72;1;0.358025546;
LVLDK1;1.75;1;1.015920283;
LVDUJ1;0.5;1;0.896303058;
LVDUD1;0.57;1;0.537451384;
LVDRM1;0.53;1;0.896303058;
LVDDO1;0.78;1;0.298216934;
LVDDR4;0.46;3;0.537451384;
LVDDR2;0.47;3;0.417834159;
LVDDR1;0.96;3;0.597259996;
LVDDO2;0.45;1;0.477642771;
LVDDR5;0.57;3;0.537451384;
LVLDJ1;1.14;2;0.716877221;
LVLDK3;0.98;2;0.477642771;
LVLDK4;3.47;2;0.477642771;
LVLDK5;1.12;2;0.537451384;
LVLDK6;2.22;2;0.836494446;
LVLDK2;4.33;2;0.417834159;
LVLUJ1;4.89;2;1.015920283;
LVLDJ2;3.87;2;0.597259996;
LVVV1;1.22;1;0.776685833;
LVLAM1;1.46;1;0.417834159;
LVLAM2;4.8;1;0.298216934;
LVLDJ3;1.79;2;0.477642771;
LVGDC1;0.87;1;0.597259996;
LVVV4;1.19;1;0.956111671;
LVVV3;1.59;1;0.776685833;
LVVV2;1.59;1;0.836494446;
GRAVE2 2007;3.393846154;4;0.446610613;
GEWDE 2007;2.697142857;4;0.47066992;
DRONGLN 2007;3.285;4;0.47066992;
KEIZVR246 2007;3.285;4;0.410861307;
OPHMT921 2007;2.524444444;4;0.027950326;
MILLGADRN866 2006;2.524444444;4;0.267184776;
LOEVSN 2006;2.524444444;4;0.386802001;
LOEVSN 2007;2.524444444;4;0.147567551;
OPHMT921 2006;2.524444444;4;0.147567551;
STEENWD941 2006;2.524444444;4;0.925079513;
SPIJKSDK860 2007;2.524444444;4;0.207376164;
SPIJKSDK860 2006;2.524444444;4;0.326993388;
WOLFRN894 2007;2.524444444;4;0.087758939;
WOLFRN894 2006;2.524444444;4;0.267184776;
EIJSDPTN 2007;3.181346154;4;0.805462288;
GATVVKPNOT 2007;3.285;4;0.410861307;
GATVDVEN 2007;3.285;4;0.650095757;
STEURGZD 2007;3.285;4;0.70990437;
KIEVTWD 2006;2.524444444;4;0.47066992;
KIEVTWD 2007;2.524444444;4;0.23143547;
ZUIDHVN976 2007;2.524444444;4;0.052009633;
ZUIDMTGND 2007;2.524444444;4;0.351052695;
OHE 2007;3.380769231;4;0.425445061;
NOORDHLDWT02 2007;2.587857143;4;0.351052695;
HOLLDP02 2007;2.587857143;4;0.530478532;
HOLLDOT01 2006;2.587857143;4;0.70990437;
HOLLDMDN 2007;2.587857143;4;0.291244083;
HARVT02 2007;2.587857143;4;0.410861307;
VENTJGGTE 2007;2.587857143;4;0.351052695;
VUILGT 2007;2.587857143;4;0.410861307;
OLST2 2006;2.55;4;0.446610613;
OLST2 2007;2.55;4;0.027950326;
KETELD1002 2006;2.55;4;1.224122575;
IJSSL1000 2007;2.55;4;0.087758939;
VELP2 2007;2.55;4;0.147567551;
VELP2 2006;2.55;4;0.027950326;
WIJHE2 2006;2.55;4;0.147567551;
WIJHE2 2007;2.55;4;0.207376164;
STEEG2 2006;2.55;4;0.267184776;
STEEG2 2007;2.55;4;0.147567551;
REMMDN912 2006;2.376923077;4;1.044696738;
REMMDN912 2007;2.376923077;4;0.147567551;
WAGNGN900 2007;2.376923077;4;0.087758939;
STEENWD943 2007;2.376923077;4;0.027950326;
WAGNGN899 2006;2.376923077;4;0.566227838;
NIEUWMWDWZD 2006;2.743076923;4;0.590287145;
ZUIDHVN 2006;2.743076923;4;0.70990437;
NOORDLDK953 2007;2.685714286;4;-0.00779898;
OPPDT982 2007;2.685714286;4;0.171626858;
HOOGVT1001 2007;2.685714286;4;0.052009633;
HOOGVT1001 2006;2.685714286;4;0.052009633;
POLDWLGLRK 2007;2.685714286;4;0.351052695;
NOORDLDK955 2006;2.685714286;4;0.052009633;
POLDWLGLRK 2006;2.685714286;4;0.171626858;
HEINOTNL990 2006;2.685714286;4;0.530478532;
OPPDT982 2006;2.685714286;4;0.351052695;
ZWIJNDT983 2006;2.685714286;4;0.410861307;
ZWIJNDT983 2007;2.685714286;4;-0.00779898;
HASSWZDE 2007;2.22;4;0.626036451;
BERGN 2007;3.298461539;4;0.805462288;
BELFBVN 2007;3.298461539;4;0.685845063;
002-3356-R_2010;0.2867;1;0.635076811;
002-3356-R_2012;0.2867;1;0.575268199;
002-1519-R_2010;0.3287;2;0.874311261;
002-3356-R_2011;0.2867;1;0.874311261;
002-1519-R_2011;0.3324;2;1.173354323;
002-1519-R_2013;0.3419;2;0.874311261;
002-1519-R_2012;0.3072;2;0.694885423;
012-2399-R_East2010;0.237625;1;1.000130556;
002-3356-R_2013;0.2867;1;0.754694036;
002-2812-R_2012;0.25;1;0.455650974;
002-2812-R_2013;0.25;1;0.575268199;
1217;1.143;2;0.572037543;
904B;1.32875;2;0.392611706;
