SampleID;x1;x2;y; ; 
RORW7.1_B148_2010_07;0.13;2;0.848892506;;
RORW7.1_B148_2010_09;0.13;2;0.914030665;;
RORW2.1_B5_2009_09;0.1323;2;0.967374745;;
RORW4.1_B11_2011_05;0.11;2;1.06341399;;
RORW13.1_B5_2011_10;0.13;3;1.041411811;;
RORW4.1_B11_2010_06;0.11;2;0.766384256;;
RORW4.1_B11_2010_10;0.11;2;0.991406701;;
RORW7.1_B148_2011_05;0.13;2;0.766384256;;
RORW7.1_B148_2011_09;0.13;2;0.601367754;;
RORW2.1_B5_2009_04;0.1323;2;1.050716438;;
RORW2.1_B6_2009_10;0.1512;2;0.898796435;;
RORW14.1_B6_2010_10_r;0.07;1;0.538298788;;
RORW14.1_B4_2010_10_l;0.07;2;0.630503874;;
RORW14.1_B6_2010_09_r;0.07;1;0.846329612;;
RORW2.1_B7_2010_07;0.14;2;1.096417259;;
RORW14.1_B7_2010_09_m;0.06;1;0.626307583;;
RORW2.1_B7_2011_05;0.14;2;0.821389704;;
RORW14.1_B3_2010_05;0.105;3;0.674077868;;
RORW2.1_B7_2010_08;0.14;2;1.119991112;;
RORW2.1_B7_2011_04;0.14;2;1.00474146;;
RORW2.1_B7_2010_04;0.14;2;1.5;;
RORW14.1_B7_2010_09_r;0.06;1;0.676312536;;
RORW14.1_B6_2010_10_m;0.07;1;0.589637232;;
RORW14.1_B4_2010_04;0.07;2;0.99053977;;
RORW14.1_B3_2010_08;0.105;3;0.768702819;;
RORW14.1_B7_2011_06_l;0.06;1;0.736318558;;
RORW14.1_B3_2011_07;0.105;3;0.711581661;;
RORW2.1_B6_2009_09;0.1512;2;0.724350517;;
RORW14.1_B6_2011_06_r;0.07;1;1.066351561;;
RORW14.1_B4_2010_09_r;0.07;2;0.690509817;;
RORW14.1_B7_2010_10_m;0.06;1;0.626307583;;
RORW14.1_B6_2011_08_m;0.07;1;0.689171009;;
RORW14.1_B3_2011_07_l;0.105;3;0.464056909;;
RORW14.1_B7_2010_10_r;0.06;1;0.818826809;;
RORW14.1_B4_2010_09_m;0.07;2;0.750515839;;
RORW14.1_B7_2011_08_l;0.06;1;0.552966881;;
RORW14.1_B5_2010_10_l;0.08;2;0.706315586;;
RORW14.1_B5_2010_10_r;0.08;2;0.676312536;;
RORW4.1_B11_2009_10;0.1013;2;1.151422707;;
RORW14.1_B5_2010_09_r;0.08;2;0.653810307;;
RORW14.1_B3_2011_05;0.105;3;0.746942363;;
RORW14.1_B3_2009_06;0.0956;3;0.332043676;;
RORW14.1_B4_2011_06;0.07;2;0.844810938;;
RORW4.1_B7_2009_10;0.0631;2;0.570849818;;
RORW12.1.9_2010_08;0.047;3;0.477605378;;
RORW14.1_B4_2011_04;0.07;2;0.660506846;;
RORW14.1_B5_2010_10_m;0.08;2;0.442955906;;
RORW14.1_B5_2011_10_m;0.08;2;0.703315289;;
RORW14.1_B3_2009_09;0.0956;3;0.134023906;;
RORW14.1_B7_2011_10_l;0.06;1;0.769321827;;
RORW4.1_B11_2009_05;0.1013;2;0.931400757;;
RORW14.1_B7_2011_06_m;0.06;1;0.626307583;;
RORW14.1_B7_2011_10_r;0.06;1;0.695064433;;
RORW14.1_B4_2010_08;0.07;2;0.78718619;;
RORW14.1_B4_2010_09_l;0.07;2;0.690509817;;
RORW14.1_B4_2010_09_17_r;0.07;2;0.640504864;;
RORW14.1_B6_2011_10_r;0.07;1;0.571302056;;
RORW12.1.9_2010_04;0.047;3;0.007308364;;
RORW14.1_B6_2010_09_m;0.07;1;0.612556182;;
RORW14.1_B4_2010_08_r;0.07;2;0.540494801;;
RORW14.1_B7_2011_06_r;0.06;1;0.571302056;;
RORW14.1_B5_2010_09_l;0.08;2;0.703315289;;
RORW14.1_B4_2010_10_m;0.07;2;0.530493811;;
RORW14.1_B5_2010_09_m;0.08;2;0.769321827;;
RORW2.1_B7_2009_04;0.1218;2;1.302687886;;
RORW4.1_B11_2009_08;0.1013;2;0.848892506;;
RORW14.1_B3_2010_08_l;0.105;3;0.275466632;;
RORW14.1_B4_2010_10_25_r;0.07;2;0.544245212;;
RORW4.1_B11_2010_08;0.11;2;1.137671384;;
RORW14.1_B3_2009_10;0.0956;3;0.134023906;;
RORW14.1_B5_2011_10_r;0.08;2;0.616306593;;
RORW14.1_B4_2010_10_r;0.07;2;0.347142134;;
RORW12.1.9_2011_06;0.047;3;0.601367754;;
RORW14.1_B3_2010_04_l;0.105;3;0.332043676;;
RORW14.1_B6_2011_10_m;0.07;1;0.461291082;;
RORW14.1_B6_2011_06_m;0.07;1;0.662977856;;
RORW14.1_B7_2011_08_m;0.06;1;0.406285555;;
RORW14.1_B5_2011_10_l;0.08;2;0.589637232;;
RORW2.1_B7_2011_06;0.14;2;0.784719353;;
RORW14.1_B4_2010_08_l;0.07;2;0.816522377;;
RORW14.1_B7_2011_10_m;0.06;1;0.274272322;;
RORW14.1_B4_2011_08_r;0.07;2;0.540494801;;
RORW14.1_B3_2009_04;0.0956;3;0.134023906;;
RORW12.1.9_2011_06_21;0.047;3;0.491356779;;
RORW14.1_B4_2011_10_r;0.07;2;0.640504864;;
RORW14.1_B5_2011_08_r;0.08;2;0.646309564;;
RORW4.1_B8_2009_08;0.1535;2;0.900882822;;
RORW12.1.9_2011_09;0.047;3;0.412777478;;
RORW14.1_B5_2011_08_m;0.08;2;0.453433104;;
